日付,東京都,大阪府,神奈川県,千葉県,埼玉県,兵庫県,福岡県,愛知県,北海道,京都府,石川県,岐阜県,茨城県,福井県,群馬県,沖縄県,高知県,広島県,宮城県,富山県,静岡県,奈良県,大分県,新潟県,滋賀県,福島県,愛媛県,栃木県,山形県,山梨県,長野県,和歌山県,熊本県,山口県,青森県,三重県,宮崎県,岡山県,香川県,秋田県,長崎県,佐賀県,島根県,鹿児島県,徳島県,鳥取県,岩手県
1月16日,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月24日,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月27日,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月29日,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月30日,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月31日,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月3日,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月5日,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月6日,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月7日,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月10日,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月11日,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月12日,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月13日,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月14日,3,1,4,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月15日,5,1,4,2,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月16日,6,1,4,2,0,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月17日,7,1,5,2,0,0,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月18日,10,1,7,2,0,0,0,5,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月19日,13,1,8,2,0,0,0,6,3,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月20日,14,1,9,3,1,0,2,7,4,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月21日,17,1,10,5,1,0,2,9,7,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月22日,18,1,14,6,1,0,2,13,17,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月23日,18,1,14,7,1,0,2,15,25,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月24日,23,1,15,7,1,0,2,15,29,2,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月25日,23,1,15,10,1,0,2,18,35,2,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月26日,26,3,16,10,1,0,2,23,36,2,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月27日,26,5,18,11,1,0,2,25,51,2,3,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月28日,26,6,20,11,1,0,2,26,63,2,3,1,0,0,0,3,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2月29日,27,6,20,11,1,0,2,27,67,2,3,1,0,0,0,3,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3月1日,29,6,24,12,1,1,3,30,69,2,3,1,0,0,0,3,2,0,1,0,1,1,0,1,1,0,0,1,0,0,1,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3月2日,29,8,24,12,1,1,3,30,74,2,3,1,0,0,0,3,3,0,1,0,1,1,0,2,1,0,0,1,0,0,1,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3月3日,30,10,24,12,1,3,3,34,76,3,3,1,0,0,0,3,3,0,1,0,1,1,1,5,1,0,0,1,0,0,1,11,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3月4日,34,17,24,13,1,3,3,40,80,5,3,1,0,0,0,3,7,0,1,0,1,1,1,5,1,0,1,1,0,0,1,11,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3月5日,42,17,26,13,3,3,3,49,80,6,3,1,0,0,0,3,7,0,1,0,1,1,1,5,1,0,1,2,0,0,1,12,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3月6日,42,17,26,13,3,3,3,49,80,6,3,1,0,0,0,3,7,0,1,0,1,1,1,5,1,0,1,2,0,0,1,12,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0
3月7日,55,26,31,16,4,7,3,61,89,7,4,2,0,0,0,3,9,0,1,0,1,2,1,5,1,0,1,2,0,1,2,12,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0
3月8日,60,33,34,20,4,9,3,68,97,8,4,2,0,0,1,3,9,1,1,0,1,2,1,6,1,1,1,2,0,2,2,12,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0
3月9日,60,44,34,20,5,11,3,79,100,8,4,2,0,0,1,3,11,1,1,0,1,2,1,6,1,1,1,2,0,2,2,12,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0
3月10日,60,44,34,20,5,13,3,84,107,9,5,2,0,0,1,3,11,1,1,0,1,3,1,8,1,1,1,2,0,2,2,12,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0
3月11日,62,59,35,21,7,20,3,96,110,10,5,2,0,0,1,3,11,1,1,0,2,3,1,8,1,1,1,2,0,2,2,12,5,1,0,2,1,0,0,1,0,0,0,0,0,0,0
3月12日,68,64,37,23,12,32,3,101,117,12,5,2,0,0,1,3,11,1,1,0,2,4,1,11,1,1,1,2,0,2,2,12,5,1,0,2,1,0,0,1,0,0,0,0,0,0,0
3月13日,70,73,37,25,18,37,3,108,127,14,5,2,0,0,1,3,11,1,1,0,2,4,1,14,1,1,1,2,0,2,2,12,5,1,0,4,1,0,0,1,0,0,0,0,0,0,0
3月14日,72,76,40,27,21,48,3,111,135,14,5,2,0,0,3,3,11,1,1,0,3,4,1,14,1,1,1,2,0,2,2,12,5,1,0,4,1,0,0,1,0,1,0,0,0,0,0
3月15日,81,86,43,29,27,53,3,117,141,14,5,2,0,0,5,3,11,1,1,0,3,4,1,14,1,2,1,2,0,2,3,12,5,1,0,5,1,0,0,1,0,1,0,0,0,0,0
